Date,Player,Active Play Time,Mine Ancient Debris,Horse Rode,Deaths
2022-08-14,Japi247,96000,0,,
2022-08-14,Rozenkwarts,97200,0,11682,
2022-08-14,Jornmeijsen,135600,0,,
2022-08-14,RedPolygon,134400,0,,
2022-08-14,iesdwoet,110400,0,190056,
2022-08-14,ngc_,135600,0,,
2022-08-14,TuinSlipper,120000,0,3691,
2022-08-14,LuckyLuke1112,76800,0,,
2022-08-15,Japi247,217200,0,,
2022-08-15,Rozenkwarts,319200,0,13683,
2022-08-15,Jornmeijsen,388800,0,,
2022-08-15,RedPolygon,454800,0,,
2022-08-15,iesdwoet,542400,8,256968,
2022-08-15,ngc_,585600,0,23372,
2022-08-15,TuinSlipper,208800,0,3691,
2022-08-15,LuckyLuke1112,298800,0,,
2022-08-16,Japi247,568800,0,,
2022-08-16,Rozenkwarts,651600,0,13683,
2022-08-16,Jornmeijsen,588000,0,,
2022-08-16,RedPolygon,895200,0,,
2022-08-16,iesdwoet,1023600,8,256968,
2022-08-16,ngc_,986400,0,23372,
2022-08-16,TuinSlipper,255600,0,3691,
2022-08-16,LuckyLuke1112,496800,0,,
2022-08-17,Japi247,568800,0,,
2022-08-17,Rozenkwarts,811200,0,232654,
2022-08-17,Jornmeijsen,848400,0,,
2022-08-17,RedPolygon,978000,0,,
2022-08-17,iesdwoet,1238400,8,927854,
2022-08-17,ngc_,1119600,0,23372,
2022-08-17,TuinSlipper,255600,0,3691,
2022-08-17,LuckyLuke1112,496800,0,,
2022-08-18,Japi247,568800,0,,
2022-08-18,Rozenkwarts,811200,0,232654,
2022-08-18,Jornmeijsen,1156800,11,,
2022-08-18,RedPolygon,978000,0,,
2022-08-18,iesdwoet,1450800,8,1876218,
2022-08-18,ngc_,1329600,0,23372,
2022-08-18,TuinSlipper,255600,0,3691,
2022-08-18,LuckyLuke1112,579600,0,,
2022-08-19,Japi247,718800,0,,
2022-08-19,Rozenkwarts,855600,0,233146,
2022-08-19,Jornmeijsen,1156800,11,,
2022-08-19,RedPolygon,1263600,0,,
2022-08-19,iesdwoet,1638000,8,2894564,
2022-08-19,ngc_,1544400,0,23372,
2022-08-19,TuinSlipper,255600,0,3691,
2022-08-19,LuckyLuke1112,740400,0,,
2022-08-20,Japi247,718800,0,,
2022-08-20,Rozenkwarts,855600,0,233146,
2022-08-20,Jornmeijsen,1269600,11,,
2022-08-20,RedPolygon,1426800,0,,
2022-08-20,iesdwoet,1924800,8,2894564,
2022-08-20,ngc_,1826400,0,23372,
2022-08-20,TuinSlipper,506400,0,3691,
2022-08-20,LuckyLuke1112,740400,0,,
2022-08-21,Japi247,718800,0,,
2022-08-21,Rozenkwarts,855600,0,233146,
2022-08-21,Jornmeijsen,1443600,11,,
2022-08-21,RedPolygon,1542000,0,,
2022-08-21,iesdwoet,1924800,8,2894564,
2022-08-21,ngc_,1917600,0,23372,
2022-08-21,TuinSlipper,506400,0,3691,
2022-08-21,LuckyLuke1112,740400,0,,
2022-08-22,Japi247,974400,0,,
2022-08-22,Rozenkwarts,855600,0,233146,
2022-08-22,Jornmeijsen,2121600,11,,
2022-08-22,RedPolygon,1617600,0,,
2022-08-22,iesdwoet,2054400,8,2894564,
2022-08-22,ngc_,2199600,0,23372,
2022-08-22,TuinSlipper,506400,0,3691,
2022-08-22,LuckyLuke1112,912000,0,,
2022-08-23,Japi247,974400,0,,
2022-08-23,Rozenkwarts,855600,0,233146,
2022-08-23,Jornmeijsen,2245200,11,,
2022-08-23,RedPolygon,1617600,0,,
2022-08-23,iesdwoet,2126400,8,2894564,
2022-08-23,ngc_,2336400,0,23372,
2022-08-23,TuinSlipper,506400,0,3691,
2022-08-23,LuckyLuke1112,912000,0,,
2022-08-24,Japi247,974400,0,,
2022-08-24,Rozenkwarts,855600,0,233146,
2022-08-24,Jornmeijsen,2245200,11,,
2022-08-24,RedPolygon,1617600,0,,
2022-08-24,iesdwoet,2130000,8,2894564,
2022-08-24,ngc_,2672400,0,23372,
2022-08-24,TuinSlipper,506400,0,3691,
2022-08-24,LuckyLuke1112,1147200,0,,
2022-08-25,Japi247,974400,0,,
2022-08-25,Rozenkwarts,855600,0,233146,
2022-08-25,Jornmeijsen,2245200,11,,
2022-08-25,RedPolygon,1617600,0,,
2022-08-25,iesdwoet,2130000,8,2894564,
2022-08-25,ngc_,2672400,0,23372,
2022-08-25,TuinSlipper,560400,0,3691,
2022-08-25,LuckyLuke1112,1147200,0,,
2022-08-26,Japi247,974400,0,,
2022-08-26,Rozenkwarts,889200,0,1426869,
2022-08-26,Jornmeijsen,2245200,11,,
2022-08-26,RedPolygon,1617600,0,,
2022-08-26,iesdwoet,2175600,8,2894564,
2022-08-26,ngc_,2917200,0,23372,
2022-08-26,TuinSlipper,608400,0,3691,
2022-08-26,LuckyLuke1112,1147200,0,,
2022-08-27,Japi247,974400,0,,
2022-08-27,Rozenkwarts,889200,0,1426869,
2022-08-27,Jornmeijsen,2558400,11,,
2022-08-27,RedPolygon,1887600,0,579,
2022-08-27,iesdwoet,2175600,8,2894564,
2022-08-27,ngc_,3186000,0,23372,
2022-08-27,TuinSlipper,608400,0,3691,
2022-08-27,LuckyLuke1112,1147200,0,,
2022-08-28,Japi247,974400,0,,
2022-08-28,Rozenkwarts,889200,0,1426869,
2022-08-28,Jornmeijsen,2844000,11,,
2022-08-28,RedPolygon,1887600,0,579,
2022-08-28,iesdwoet,2215200,8,2894564,
2022-08-28,ngc_,3513600,0,23372,
2022-08-28,TuinSlipper,608400,0,3691,
2022-08-28,LuckyLuke1112,1147200,0,,
2022-08-29,Japi247,974400,0,,
2022-08-29,Rozenkwarts,889200,0,1426869,
2022-08-29,Jornmeijsen,3216000,11,,
2022-08-29,RedPolygon,2184000,0,579,
2022-08-29,iesdwoet,2215200,8,2894564,
2022-08-29,ngc_,3710400,0,23372,
2022-08-29,TuinSlipper,684000,0,3691,
2022-08-29,LuckyLuke1112,1282800,0,,
2022-08-30,Japi247,974400,0,,
2022-08-30,Rozenkwarts,889200,0,1426869,
2022-08-30,Jornmeijsen,3360000,11,,
